FishID,Release_Group_binned,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
696,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
697,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
698,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,NA,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,NA
699,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
700,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,NA,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
701,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
702,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
703,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
704,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,NA,17,17,NA,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,NA
705,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
706,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
707,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
708,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
709,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
710,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
711,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
712,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
713,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
714,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,NA,NA,NA,17,17,17,NA,NA,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
715,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
716,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,NA,17,NA,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
717,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
718,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,NA,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
719,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
720,1,15,15,15,15,15,15,14,14,14,14,13.5,13,14,14,15,16,15,14,13,13,14,14,15,16,16.5,16.5,14.5,13.5,14,15,16,17,17,17,17,17,17,16.5,16,16,15.5,16,16,15.5,15.5,16,16,15,15,16,16.5,16.5
